humidity,pressure,altitude,temp,CO2,TVOC,time
23,91695,2737.4,81.52,-1,-1,1086
22,96180,1435.0,81.46,-1,-1,2099
22,96179,1435.2,81.45,-1,-1,3104
22,96177,1435.9,81.46,400,0,4111
22,96175,1436.4,81.50,400,0,5117
22,96174,1436.5,81.54,424,3,6125
22,96174,1436.8,81.59,466,10,7132
26,96145,1444.9,82.15,1299,136,8138
27,96076,1464.5,83.88,1531,193,9146
28,96040,1474.7,86.14,1610,254,10152
28,96148,1443.9,87.28,1685,323,11159
29,96180,1434.8,88.20,1743,384,12167
29,96206,1427.5,88.90,1795,444,13173
36,96205,1427.9,89.26,1933,634,14180
28,96222,1423.1,89.22,1606,249,15187
25,96219,1423.9,89.10,1606,249,16194
26,96213,1425.4,88.97,1641,283,17201
24,96210,1426.5,88.84,1559,214,18208
22,96208,1426.9,88.72,1517,183,19215
21,96210,1426.4,88.56,1495,168,20222
21,96203,1428.5,88.45,1491,166,21229
20,96199,1429.4,88.38,1330,141,22236
20,96199,1429.4,88.29,1491,166,23243
21,96198,1429.8,88.21,1563,217,24250
21,96196,1430.2,88.14,1556,211,25256
20,96194,1430.9,88.07,1537,197,26264
21,96196,1430.5,88.02,1569,221,27271
20,96196,1430.3,87.94,1086,104,28278
20,96201,1428.9,87.84,1056,99,29285
19,96211,1426.0,87.64,954,84,30291
19,96203,1428.4,87.55,933,81,31298
19,96202,1428.6,87.48,882,73,32306

