humidity,pressure,altitude,temp,CO2,TVOC,time
24,91798,2707.0,80.37,-1,-1,1086
23,96185,1433.5,80.28,-1,-1,2099
23,96184,1433.7,80.24,-1,-1,3104
23,96181,1434.6,80.22,400,0,4111
23,96179,1435.1,80.22,400,0,5117
23,96178,1435.6,80.22,487,13,6125
24,96175,1436.3,80.26,492,14,7132
23,96176,1436.0,80.28,428,4,8138
25,96174,1436.6,80.31,1700,338,9145
44,96169,1438.0,80.42,3742,4443,10152
43,96174,1436.5,80.49,1677,316,11159
31,96181,1434.8,80.51,588,28,12167
27,96180,1434.9,80.53,485,12,13173
26,96177,1435.7,80.55,455,8,14180
25,96177,1435.7,80.56,447,7,15186
24,96179,1435.3,80.58,441,6,16194
24,96176,1436.0,80.62,441,6,17201
23,96176,1436.1,80.64,428,4,18207
23,96176,1436.1,80.65,428,4,19214
23,96176,1436.0,80.67,426,3,20221
23,96178,1435.6,80.71,426,3,21228
23,96178,1435.5,80.73,423,3,22235
23,96177,1435.7,80.74,426,3,23241
23,96178,1435.6,80.78,455,8,24249
23,96177,1435.9,80.80,452,7,25255
23,96175,1436.3,80.82,426,3,26262

